experiment,folder,r_z,score
cases/spikeEvenVariance/experiments/experiment8,cases/spikeEvenVariance/experiments/experiment8/run3,100.0,2.583
cases/spikeEvenVariance/experiments/experiment9,cases/spikeEvenVariance/experiments/experiment9/run1,1000.0,2.59
cases/spikeEvenVariance/experiments/experiment10,cases/spikeEvenVariance/experiments/experiment10/run3,10000.0,2.606
cases/spikeEvenVariance/experiments/experiment10,cases/spikeEvenVariance/experiments/experiment10/run5,10000.0,2.625
cases/spikeEvenVariance/experiments/experiment8,cases/spikeEvenVariance/experiments/experiment8/run4,100.0,2.6610000000000005
cases/spikeEvenVariance/experiments/experiment10,cases/spikeEvenVariance/experiments/experiment10/run1,10000.0,2.6710000000000003
cases/spikeEvenVariance/experiments/experiment8,cases/spikeEvenVariance/experiments/experiment8/run5,100.0,2.6739999999999995
cases/spikeEvenVariance/experiments/experiment7,cases/spikeEvenVariance/experiments/experiment7/run2,10.0,2.7199999999999998
cases/spikeEvenVariance/experiments/experiment7,cases/spikeEvenVariance/experiments/experiment7/run1,10.0,2.724
cases/spikeEvenVariance/experiments/experiment10,cases/spikeEvenVariance/experiments/experiment10/run2,10000.0,2.7310000000000003
cases/spikeEvenVariance/experiments/experiment9,cases/spikeEvenVariance/experiments/experiment9/run3,1000.0,2.75
cases/spikeEvenVariance/experiments/experiment9,cases/spikeEvenVariance/experiments/experiment9/run5,1000.0,2.7910000000000004
cases/spikeEvenVariance/experiments/experiment8,cases/spikeEvenVariance/experiments/experiment8/run1,100.0,2.805
cases/spikeEvenVariance/experiments/experiment9,cases/spikeEvenVariance/experiments/experiment9/run4,1000.0,2.8659999999999997
